barcat -f'([.0-9]+)(?=,m)' t1320-earthquakes.in
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-23T11:01:17.100Z,35.6771667,-117.5598333,2.49,1.84,ml,32,50,0.05552,0.16,ci,ci38853367,2019-09-23T11:12:13.670Z,"12km ENE of Ridgecrest, CA",earthquake,0.22,0.43,0.111,26,automatic,ci,ci                                           
2019-09-23T10:53:37.740Z,36.042,-117.8625,1.68,1.02,ml,11,81,0.04099,0.18,ci,ci38853359,2019-09-23T10:57:09.234Z,"8km E of Coso Junction, CA",earthquake,0.42,0.52,0.185,15,automatic,ci,ci                                                  
2019-09-23T10:52:06.660Z,35.657,-117.4536667,6.53, 1.4,ml,26,45,0.02573,0.21,ci,ci38853351,2019-09-23T12:51:48.590Z,"13km SSW of Searles Valley, CA",earthquake,0.33,0.68,0.233,17,reviewed,ci,ci                                            
2019-09-23T10:39:02.210Z,35.67,-117.4751667,6,1.01,ml,17,97,0.0422,0.19,ci,ci38853335,2019-09-23T10:42:48.610Z,"13km SSW of Searles Valley, CA",earthquake,0.38,0.88,0.114,9,automatic,ci,ci                                                 
2019-09-23T10:17:34.664Z,36.00635147,-97.89324951,1.95148313,1.84,ml,27,55.18618774,0.2171918005,0.6783649274,ok,ok2019sqyr,2019-09-23T10:21:07.698Z,"11km S of Hennessey, Oklahoma",earthquake,2.228881275,2.038898207,,20,automatic,ok,ok  
2019-09-23T10:15:29.530Z,19.1163,-67.0861,8,2.92,md,11,291,0.6493,0.5,pr,pr2019266009,2019-09-23T12:18:27.650Z,"68km N of Isabela, Puerto Rico",earthquake,4.13,6.16,0.3,9,reviewed,pr,pr                                                    
2019-09-23T10:06:26.360Z,19.2024994,-155.4134979,34.11,2.09,md,45,159,0.03796,0.12,hv,hv71155857,2019-09-23T10:09:37.580Z,"7km E of Pahala, Hawaii",earthquake,0.63,0.75,0.32,3,automatic,hv,hv                                              
2019-09-23T10:03:09.930Z,36.0895,-117.8565,5.82, 1.1,ml,16,83,0.02805,0.12,ci,ci38853303,2019-09-23T12:50:49.140Z,"10km ENE of Coso Junction, CA",earthquake,0.31,0.47,0.202,16,reviewed,ci,ci                                               
2019-09-23T10:01:01.020Z,18.335,-66.4263,18,1.31,md,4,139,0.1756,0.33,pr,pr2019266008,2019-09-23T12:18:04.986Z,"0km SSE of Franquez, Puerto Rico",earthquake,1.03,1.3,0.49,3,reviewed,pr,pr                                                  
2019-09-23T09:46:25.550Z,33.3016667,-116.2066667,2.77,2.22,ml,78,28,0.1157,0.22,ci,ci38853279,2019-09-23T12:51:53.850Z,"16km ENE of Borrego Springs, CA",earthquake,0.19,0.71,0.146,26,reviewed,ci,ci                                        
2019-09-23T09:34:15.150Z,35.6041667,-117.4766667,6.13,1.42,ml,26,60,0.01382,0.22,ci,ci38853271,2019-09-23T09:45:29.240Z,"18km E of Ridgecrest, CA",earthquake,0.34,0.57,0.199,15,automatic,ci,ci                                             
2019-09-23T09:23:51.990Z,40.5203323,-124.3320007,32, 2.2,md,7,285,0.1913,0.15,nc,nc73278225,2019-09-23T10:16:03.457Z,"8km SW of Ferndale, CA",earthquake,6.61,8.11,0.03,3,automatic,nc,nc                                                    
2019-09-23T09:05:40.590Z,18.0588,-66.4726,7,1.58,md,6,242,0.1078,0.27,pr,pr2019266007,2019-09-23T12:17:41.497Z,"2km NNW of Rio Canas Abajo, Puerto Rico",earthquake,2.09,1.11,0.09,4,reviewed,pr,pr                                          
2019-09-23T08:54:22.607Z,11.0555,138.6312,10, 5.2,mb,,53,6.594,0.81,us,us60005m5b,2019-09-23T09:14:19.040Z,"166km NNE of Rumung, Micronesia",earthquake,9.3,1.8,0.033,302,reviewed,us,us                                                     
2019-09-23T08:37:37.570Z,35.6305,-117.4318333,4.67,1.04,ml,18,99,0.03518,0.15,ci,ci38853239,2019-09-23T12:51:57.227Z,"15km S of Searles Valley, CA",earthquake,0.3,0.41,0.191,9,reviewed,ci,ci                                               
